Distance Matrix
 ,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,p135,p136,p137,p138,p139,p140,p141,p142,p143,p144,p145,p146,p147,p148,p149,p150,
p146,1,2,2,2,1,1,2,1,2.23607,2,1,2,2,2,1.41421,1.41421,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1.41421,1.41421,2,1,1,2,2,1,1,2.23607,2,1,1,2,1,2,1,1,1,0,0,1.41421,1,1.41421,0,2.23607,1,1.41421,1.41421,1,1,1,1.41421,0,1,1.41421,1,1.41421,1,1,1,1,1,0,1,0,1,1.41421,1.41421,1.41421,1.41421,1,1,0,0,1,1,1.41421,1.41421,0,1.41421,1.41421,1.41421,1,1.41421,1,1.41421,1.41421,0,1.41421,1,1,0,1,2.23607,1.41421,1,1,0,1,0,1.41421,1.41421,0,0,1,1.41421,1,0,1.41421,1.41421,1,0,1,1,0,1,1,1.41421,1,1,1,1,1,0,0,0,0,0,0,1.41421,0,0,0,1,0,0,1,
p147,1.41421,2.23607,2.23607,2.23607,1.41421,1.41421,2.23607,1.41421,2,2.23607,1.41421,2.23607,2.23607,2.23607,2.23607,2.23607,1.41421,1.41421,1.41421,1.41421,1.41421,1.41421,2.23607,1.41421,2.23607,1.41421,1.41421,1.41421,1.41421,2.23607,2.23607,1.41421,2.23607,2.23607,2.23607,1.41421,1.41421,2.23607,2.23607,1.41421,1.41421,2,2.23607,1.41421,1.41421,2.23607,1.41421,2.23607,1.41421,1.41421,1.41421,1,1,1,0,1,1,2,0,1,1,1.41421,0,0,1,1,1.41421,1,0,1,1.41421,0,0,0,0,1,0,1,0,1,1,1,1,0,1.41421,1,1,0,1.41421,1,1,1,1,1,1,1.41421,1,0,1,1,1,1,1.41421,0,1,1.41421,2,1,0,1.41421,1,0,1,1,1,1,1,1.41421,1,0,1,1,1,0,1,1.41421,0,1,0,1.41421,1,1.41421,0,0,0,1.41421,1,1,1,1,1,1,1,1,1,1,0,1,1,1.41421,
p148,1,2,2,2,1,1,2,1,2.23607,2,1,2,2,2,1.41421,1.41421,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1.41421,1.41421,2,1,1,2,2,1,1,2.23607,2,1,1,2,1,2,1,1,1,0,0,1.41421,1,1.41421,0,2.23607,1,1.41421,1.41421,1,1,1,1.41421,0,1,1.41421,1,1.41421,1,1,1,1,1,0,1,0,1,1.41421,1.41421,1.41421,1.41421,1,1,0,0,1,1,1.41421,1.41421,0,1.41421,1.41421,1.41421,1,1.41421,1,1.41421,1.41421,0,1.41421,1,1,0,1,2.23607,1.41421,1,1,0,1,0,1.41421,1.41421,0,0,1,1.41421,1,0,1.41421,1.41421,1,0,1,1,0,1,1,1.41421,1,1,1,1,1,0,0,0,0,0,0,1.41421,0,0,0,1,0,0,1,
p149,1,2,2,2,1,1,2,1,2.23607,2,1,2,2,2,1.41421,1.41421,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1.41421,1.41421,2,1,1,2,2,1,1,2.23607,2,1,1,2,1,2,1,1,1,0,0,1.41421,1,1.41421,0,2.23607,1,1.41421,1.41421,1,1,1,1.41421,0,1,1.41421,1,1.41421,1,1,1,1,1,0,1,0,1,1.41421,1.41421,1.41421,1.41421,1,1,0,0,1,1,1.41421,1.41421,0,1.41421,1.41421,1.41421,1,1.41421,1,1.41421,1.41421,0,1.41421,1,1,0,1,2.23607,1.41421,1,1,0,1,0,1.41421,1.41421,0,0,1,1.41421,1,0,1.41421,1.41421,1,0,1,1,0,1,1,1.41421,1,1,1,1,1,0,0,0,0,0,0,1.41421,0,0,0,1,0,0,1,
p150,0,1,1,1,0,0,1,0,1.41421,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1.41421,1,0,0,1,0,1,0,0,2,1,1,1,1.41421,1,1,1.41421,1.41421,1,1,0,1.41421,1.41421,1,1,0,1,1.41421,1,0,1.41421,1.41421,1.41421,1.41421,1,1.41421,1,1.41421,1,1,1,1,1.41421,0,1,1,1.41421,0,1,1,1,1,1,1,0,1,1.41421,1,1,1,1,2,1.41421,1,2,1.41421,2.23607,1.41421,2,1,1.41421,1,1,1,1,1,2,2.23607,1.41421,1,1,2.23607,1.41421,1,2,1.41421,1,1.41421,2,2.23607,2,1.41421,1.41421,1.41421,2,1,1,1,1,1,1,1,1,1,1,1.41421,1,1,0,

Point,Cluster
p1,1
p2,2
p3,2
p4,2
p5,1
p6,1
p7,2
p8,1
p9,2
p10,2
p11,1
p12,2
p13,2
p14,2
p15,1
p16,1
p17,1
p18,1
p19,1
p20,1
p21,1
p22,1
p23,2
p24,1
p25,2
p26,1
p27,1
p28,1
p29,1
p30,2
p31,2
p32,1
p33,1
p34,1
p35,2
p36,1
p37,1
p38,2
p39,2
p40,1
p41,1
p42,2
p43,2
p44,1
p45,1
p46,2
p47,1
p48,2
p49,1
p50,1
p51,1
p52,1
p53,1
p54,1
p55,1
p56,1
p57,1
p58,2
p59,1
p60,1
p61,1
p62,1
p63,1
p64,1
p65,1
p66,1
p67,1
p68,1
p69,1
p70,1
p71,1
p72,1
p73,1
p74,1
p75,1
p76,1
p77,1
p78,1
p79,1
p80,1
p81,1
p82,1
p83,1
p84,1
p85,1
p86,1
p87,1
p88,1
p89,1
p90,1
p91,1
p92,1
p93,1
p94,1
p95,1
p96,1
p97,1
p98,1
p99,1
p100,1
p101,1
p102,1
p103,1
p104,1
p105,1
p106,1
p107,2
p108,1
p109,1
p110,1
p111,1
p112,1
p113,1
p114,1
p115,1
p116,1
p117,1
p118,1
p119,1
p120,1
p121,1
p122,1
p123,1
p124,1
p125,1
p126,1
p127,1
p128,1
p129,1
p130,1
p131,1
p132,1
p133,1
p134,1
p135,1
p136,1
p137,1
p138,1
p139,1
p140,1
p141,1
p142,1
p143,1
p144,1
p145,1
p146,1
p147,1
p148,1
p149,1
p150,1

Final Centroids
Cluster 1: (5.625, 2.61719)
Cluster 2: (4, 2.81818)
Cluster 3: (0, 0)
